,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.22_P,GLC_CHEM_mu=0.26_P,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.40_V,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.41_P,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GLC_CHEM_mu=0.46_P,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.49_V,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.51_P,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,GLC_BATCH_mu=0.58_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S
ENO,9.40267584194167e-05,7.72852420949942e-05,6.82698256869586e-05,9.80535216829248e-05,7.89863013437645e-05,9.97052667820545e-05,0.0001185032,9.34186696098751e-05,8.42171083349316e-05,9.45642791150218e-05,7.752699999999999e-05,6.59896489906151e-05,0.00010326850000000001,7.87598642181692e-05,7.88353432600343e-05,0.0001065969,8.484161277991479e-05,9.16943585076432e-05,0.0001186154,0.00012129959999999999,0.00010110760000000001,0.0001018014,9.632635322824e-05,8.97854535673122e-05,0.0001195026,0.0001710822,0.0001554742,0.00012810180000000001,0.0001651746,0.00017880029999999998,0.0001287939
DHMPTR,,1.48309696296336e-07,1.30636803228057e-07,,,,2.2768941739094896e-07,,1.31267898895825e-07,,,9.644544238318279e-08,,1.3686866258204697e-07,,,1.3867540500149502e-07,1.40426124400185e-07,1.1907635103399902e-07,,1.71543276966135e-07,1.37234621572908e-07,,9.727162768240829e-08,,1.29856416111999e-07,1.1900000000000001e-07,1.38201062569901e-07,1.27086441365583e-07,1.3939823047158e-07,9.45598734775296e-08
G1SAT,5.9427165628455e-06,6.10188464762068e-06,6.99632657288038e-06,5.152000000000001e-06,6.35030338891704e-06,5.17276812752238e-06,7.92814551355284e-06,5.39968265696655e-06,6.7296676167259805e-06,5.47584333975131e-06,6.90381636259444e-06,7.30050066039657e-06,5.466e-06,8.67505787836211e-06,7.0346467018272796e-06,5.29860622318007e-06,8.64938311766469e-06,8.06670070165508e-06,8.41985036988795e-06,5.12381616285978e-06,9.68647703935444e-06,7.803313065548421e-06,7.724e-06,7.95008495481222e-06,5.425e-06,9.4867326215155e-06,9.23784115730083e-06,1.0308381820919e-05,9.03687641169861e-06,9.13228407430889e-06,1.0229352027265599e-05
FADRx,1.09193013898177e-06,2.72783905687904e-06,2.95626247304973e-06,1.2460545277233e-06,1.28314371170669e-06,1.19738564529408e-06,3.26051245703839e-06,1.27086493963477e-06,2.75225028018247e-06,1.25907404052842e-06,1.28817564783103e-06,2.73821190766167e-06,1.25238043983038e-06,3.04734051690028e-06,1.13218562797649e-06,1.2618829624943701e-06,2.9597293581747698e-06,3.40143279102671e-06,3.13055568040998e-06,1.1155114554681002e-06,2.74088035863669e-06,2.84380632481638e-06,1.12715369185215e-06,2.98923194300939e-06,1.0203323773722e-06,2.76666308771954e-06,3.66122950982442e-06,2.27854572390887e-06,3.14968288465512e-06,2.822e-06,2.47544240210819e-06
ACOAD6f,1.4039101786908501e-06,1.838e-06,2.1482496530836e-06,1.67759389065172e-06,1.48945309280463e-06,1.2812911425931e-06,5.05470506607906e-07,6.97507135919574e-07,1.36081055188672e-06,1.4683692930707898e-06,1.07683433060875e-06,2.2182451748132003e-06,9.97333305506827e-07,1.62229620648721e-06,6.49119760039856e-07,1.02218213394597e-06,7.409228781508459e-07,5.5e-07,8.37375629851995e-07,6.215349452553279e-07,4.49824592933422e-07,1.10168904540474e-06,2.81788422963038e-07,1.5563460429185301e-06,5.91191734760692e-07,4.3285472037333097e-07,5.122114191084409e-07,3.04751061051576e-07,1.7517320296337098e-07,6.69791497631739e-07,4.9643933575703e-07
MNNH,4.2419221528185895e-06,2.74372938148221e-06,2.80143366922389e-06,1.9174496077754397e-06,2.9336187604902e-06,1.7781853406015098e-06,1.8989297410405101e-06,2.10453990643986e-06,1.51833203056171e-06,2.0203283760093004e-06,1.99264670523863e-06,2.017e-06,1.29110000649962e-06,1.3364822346246999e-06,1.33849500907443e-06,1.41232928479991e-06,2.0127744497359903e-06,1.4861764832352899e-06,1.7208453310719899e-06,9.3926371735842e-07,1.88316397380602e-06,2.211e-06,8.554291411377949e-07,1.56008725936786e-06,5.740580852716471e-07,1.03163708355644e-06,8.94566422104883e-07,1.39972871064387e-06,1.08538690463579e-06,1.224e-06,9.92878671514061e-07
CHORS,2.06309381097939e-06,2.22464544444504e-06,2.4337152601375e-06,1.2685758505042e-06,2.05806187485505e-06,1.392e-06,2.79147225721303e-06,1.23378804752455e-06,2.26655905426792e-06,1.3188859563525e-06,2.38513772293714e-06,2.61241350455317e-06,1.40231885505156e-06,2.56830019786312e-06,1.37875049806915e-06,1.30852082460553e-06,2.6110597684567198e-06,2.63689055818126e-06,2.3968917111359797e-06,1.30944044204824e-06,2.63033024681407e-06,2.25293503748858e-06,2.09328542772543e-06,2.70115827641149e-06,1.29962332012669e-06,3.0155545519342002e-06,3.2283747894510897e-06,2.8278063571995e-06,2.4009033112038503e-06,2.6315665947561697e-06,2.61052793564751e-06
G5SD,3.7538243487576203e-06,4.0096585748688e-06,3.8949120962439205e-06,3.7571032121980797e-06,4.17147504707783e-06,3.7253523900788298e-06,4.194e-06,3.703e-06,3.0016592880845404e-06,3.3860000000000003e-06,3.23050299182626e-06,3.5894477686958396e-06,3.08307750324933e-06,3.21238802177864e-06,2.6065429124081002e-06,2.965e-06,2.9399185860317e-06,3.198595055782e-06,3.0191616746039797e-06,2.7934090603233502e-06,3.62146918039619e-06,3.03059789306839e-06,2.16876446959053e-06,3.48307251432008e-06,2.70239733169677e-06,3.737e-06,3.25362464813954e-06,3.34517443758939e-06,3.82633231570971e-06,3.62775394910186e-06,4.44431405344389e-06
S7PI,1.37925369168159e-05,1.5863840728840197e-05,1.87004164620904e-05,1.8653389236712102e-05,1.3757313363945499e-05,1.90323692895651e-05,1.4549353771281601e-05,1.9016e-05,1.42556938200866e-05,1.67571175588005e-05,1.1140706579288699e-05,1.7267927466693302e-05,1.59083256799414e-05,1.87188023825447e-05,9.71163671997614e-06,1.38376694722263e-05,1.64667138053204e-05,1.4865665558030701e-05,1.51687906526859e-05,1.29701906208373e-05,1.5111056664305802e-05,1.69599119827186e-05,8.36307783865303e-06,1.61283841130332e-05,1.12362655965169e-05,1.40785997801426e-05,1.4237313177612803e-05,1.1942e-05,1.24716450972549e-05,1.2804237462340801e-05,1.21374351885086e-05
PUNP1_reverse,8.9266546845791e-06,1.14463304891565e-05,1.2207283501644e-05,2.2704376561408603e-05,1.0149415162793699e-05,2.4251647833986802e-05,1.24819338613718e-05,2.28863483616483e-05,9.81008764414801e-06,2.2541e-05,9.616e-06,1.12925033190396e-05,2.2225802105507998e-05,8.80387544314521e-06,1.01997345240371e-05,2.0171e-05,1.22787165742752e-05,1.27124649838945e-05,1.0352e-05,1.88270933557518e-05,1.2926738937603699e-05,1.18593585475922e-05,7.54790418650995e-06,1.13882628717404e-05,1.8021e-05,1.0399334656969301e-05,1.0370477675611e-05,9.79455735751808e-06,9.97456826285547e-06,1.09750606820064e-05,1.0658248596253e-05
PETNT161pp,3.47203592579458e-07,,,,,,,,,,,,,5.63576845926077e-08,,,,,,,,,,,,,,,,,
CRNt2rpp_reverse,,3.39e-07,3.5799999999999995e-07,1.12300526190008e-07,,9.39378477683299e-08,4.73593988173174e-07,,2.3628221801248497e-07,1.9e-07,,3.5642880880741403e-07,1.87272850110842e-07,1.85175249375711e-07,,2.69927947323705e-07,2.9716158214606105e-07,4.446827272672529e-07,4.916700945919971e-07,3.05240652197962e-07,3.5071069957521e-07,4.917573939695879e-07,,4.86358138412042e-07,3.13771533607382e-07,1.07492255559377e-06,2.3157727539973204e-06,9.49689353044445e-07,2.05055690527711e-06,7.68390246014076e-07,1.41164382548598e-06
UDPG4E_reverse,3.2204391195775797e-06,2.38884546534455e-06,2.65628166563716e-06,2.8659204175449503e-06,3.1047045887177603e-06,3.08077586665392e-06,2.40758789949189e-05,3.0167511203703997e-06,2.3015638273068e-06,2.89614109718257e-06,2.42036127580752e-06,2.6962791066255e-06,2.48563245598854e-06,2.61258123575731e-06,2.25933931982865e-06,2.471e-06,2.50408159888414e-06,2.37944266344758e-06,2.96922643062198e-06,2.2395753365836498e-06,2.31011612981062e-06,2.8514304704593203e-06,1.96748702461693e-06,2.0464453977799e-06,2.27649428366217e-06,1.88652515629377e-06,2.2183804419133204e-06,2.20058615015149e-06,1.319e-06,2.13517289600372e-06,1.47918659225564e-06
GAM6Pt6_2pp,,1.3241937169315698e-07,3.19334407890806e-07,,,,,,,,,4.1513473025804794e-07,,,,,,,,,,,,,,,,,,,
GALUi,8.43352494439379e-06,5.4715684383612506e-06,6.23185935399027e-06,9.34444006979491e-06,7.457329336271831e-06,9.59959032487314e-06,5.79241877842574e-06,8.7241121262931e-06,4.69939078047055e-06,9.254873901638901e-06,7.32146706091465e-06,5.12e-06,9.13907373239429e-06,4.1905964043503305e-06,7.14031736043842e-06,8.81252254443636e-06,5.3885300229152394e-06,4.86030419451752e-06,5.88467644464796e-06,8.657999999999999e-06,6.22130284463851e-06,4.9328222309817594e-06,7.65860678124543e-06,5.67542535362359e-06,9.050739419819259e-06,7.21063821688573e-06,9.03584228779328e-06,5.737115905145359e-06,8.951e-06,5.62352861463399e-06,9.51e-06
OHPBAT,2.1265e-05,1.7272782843655402e-05,2.2929178166583802e-05,3.16936533467006e-05,2.84555987831425e-05,3.19848744436594e-05,3.64120916291605e-05,3.4164885280778196e-05,3.50135242321465e-05,3.5109e-05,3.02419361072832e-05,2.5251932783979397e-05,3.58165694122825e-05,3.51108375011946e-05,3.0030594790060902e-05,3.68714675593632e-05,3.04927404826145e-05,3.9190590884684995e-05,4.0820141368977795e-05,3.88173455426436e-05,3.69237373487553e-05,3.75641655827622e-05,4.0265552866968394e-05,2.86951301663104e-05,4.25078486679068e-05,5.6545254971436097e-05,6.22517230350245e-05,6.43166483498383e-05,7.31983554578902e-05,5.3165125119124395e-05,6.31220926845895e-05
PERD_reverse,3.74376047650894e-06,1.8750583031751e-06,1.8772992463883701e-06,2.3112478740970003e-06,3.3864930116808e-06,2.3411381754293703e-06,2.5683366281699e-06,2.1374345921197702e-06,1.66710231597698e-06,2.27381290114118e-06,3.467e-06,1.9792282089070498e-06,2.1607671131833803e-06,2.4998658665721e-06,3.0845768442204e-06,2.15452934751366e-06,2.0999418471655e-06,2.64079128385904e-06,2.52365040739798e-06,2.1558206415298e-06,2.4625990426694098e-06,2.21862638209535e-06,2.87323552699812e-06,2.15119945836095e-06,2.10016846909967e-06,2.67287789830532e-06,2.58269983156087e-06,2.61164572087222e-06,3.3008127068196e-06,2.89e-06,2.79627054426409e-06
NI2tpp,2.13354091672015e-06,3.48e-06,3.04819207532133e-06,6.897525960797179e-07,1.60015568754011e-06,8.643861050571051e-07,1.60293349843228e-06,8.38632907926303e-07,8.53241342822864e-07,6.77676072480575e-07,9.41e-07,1.8953626068347198e-06,6.14e-07,1.40491656591572e-06,6.54151696164196e-07,5.697342656421661e-07,9.0733336415264e-07,8.38656020723328e-07,1.59024546219599e-06,5.23e-07,1.26560817672793e-06,1.2351115941561702e-06,6.89375249034576e-07,1.87809065756035e-06,5.586436968537501e-07,6.60103448569329e-07,5.302470324573301e-07,9.78e-07,5.80475907859013e-07,1.0063872248679899e-06,1.20226124850002e-06
ASPTA_reverse,2.4103000000000003e-05,1.64888601632319e-05,2.0989000000000002e-05,5.9430925412888096e-05,3.555566065458621e-05,6.0965265193848594e-05,3.0501274353691497e-05,6.28054719783321e-05,3.4361560334297196e-05,6.15147615154645e-05,3.88213871992829e-05,2.802369093247e-05,5.8066748763559e-05,3.3082e-05,3.05388203386193e-05,5.23317363004276e-05,3.40111336152239e-05,3.86951987236066e-05,3.49623531326278e-05,4.90135371028437e-05,3.31688456196076e-05,3.29515574687839e-05,2.8058075829319703e-05,2.9637916711540002e-05,4.74648131904993e-05,3.6013512735061103e-05,2.7933557954758898e-05,2.4752164667968103e-05,3.4224e-05,3.1181e-05,2.51225320999765e-05
SDPTA_reverse,7.32146706091465e-06,1.4094717923019598e-05,1.28024067163496e-05,4.7898347075540604e-06,7.1252215520654005e-06,4.94471288823822e-06,1.31331255951099e-05,5.25736010359642e-06,6.77779917965445e-06,5.7355583494309096e-06,7.990714565451872e-06,9.66131735873274e-06,5.3601665932432e-06,9.991412368489439e-06,1.18904650618153e-05,6.1937166190870995e-06,7.03678626521873e-06,7.89116804615485e-06,1.00216193499259e-05,6.85566810150851e-06,8.714398469879671e-06,7.59364906036759e-06,1.14023672577544e-05,1.0325757400132599e-05,7.32820882867547e-06,7.520850766486619e-06,7.92845562817151e-06,1.38874349797805e-05,1.14618231037014e-05,9.95507362977529e-06,1.15025331808738e-05
MLTP2_reverse,2.79775648513302e-06,1.17058724576751e-06,1.6402176405300502e-06,2.7110000000000004e-06,3.27075848082098e-06,2.73676476248262e-06,8.06e-07,2.77051125623488e-06,6.87e-07,2.79037571098055e-06,3.95510179373121e-06,1.8743962063166402e-06,3.10869531688997e-06,8.93671855682778e-07,3.7739999999999998e-06,3.13205336119511e-06,8.83560437580955e-07,9.24471985634552e-07,1.17923999249799e-06,3.18927749676148e-06,1.04450795308269e-06,1.51339291012346e-06,2.46061676480224e-06,2.11e-06,2.8428332006758203e-06,8.15209723369773e-07,4.90568683089775e-07,9.709999999999999e-07,1.003e-06,1.4925810530981399e-06,7.29461881112371e-07
I4FE4SR,1.6444367254343e-05,1.6541827911909198e-05,2.33694725774635e-05,3.42392076789416e-05,2.1471271442558604e-05,3.4932304347127304e-05,3.52463218121189e-05,3.0800367903042e-05,2.98196910325016e-05,3.31426871867919e-05,2.2749383218141e-05,2.85352711051112e-05,3.12368819146935e-05,2.7768236308557695e-05,1.947862473732e-05,3.09504786345598e-05,2.6312667560426603e-05,2.49178356296773e-05,2.41033581528499e-05,2.8134478071128002e-05,3.43353399029773e-05,3.5791551720778794e-05,1.86886107657986e-05,3.79808293935311e-05,2.5782301770769e-05,4.61026348424295e-05,5.0200326195297e-05,3.34198518229931e-05,2.45998133259542e-05,4.19860670266718e-05,4.034667172985879e-05
LPLIPAL1G180pp,1.03154690548969e-06,9.26935601852099e-07,7.88659219487899e-07,,1.01645109711667e-06,,6.46637945390295e-07,,7.57e-07,,9.761956081219541e-07,8.38656020723328e-07,,9.38e-07,7.95e-07,,9.74689989439081e-07,4.95392161078431e-07,7.52869832343995e-07,,7.47166273008056e-07,7.81474928401283e-07,7.44726546402315e-07,6.58454095080918e-07,,5.19425664447997e-07,1.1037795369519899e-06,5.95327654147264e-07,7.45344804765716e-07,5.03193612433997e-07,6.889362210505729e-07
UPPRT,1.99767864136297e-05,3.1017913625405105e-05,3.39462152388166e-05,2.5084855356713602e-05,3.4649912152205e-05,2.5277615594635602e-05,6.56200900920714e-05,3.2135e-05,5.0175e-05,3.64353224892104e-05,4.176506983202171e-05,4.17902295126434e-05,4.045022060212871e-05,5.40953261111044e-05,4.6857389189853795e-05,4.276e-05,8.538442793663491e-05,0.00010116139999999999,6.49695935931956e-05,4.6157213315027296e-05,8.2455135128389e-05,7.132388248969759e-05,5.33938742153714e-05,6.0802249734403796e-05,4.98173878841836e-05,6.34745376200792e-05,6.493181517866939e-05,8.2584e-05,5.16657905681377e-05,6.81997342690104e-05,4.4203363712406604e-05
GAPD_reverse,8.12557045358418e-05,6.9779712107426e-05,7.430331063604699e-05,0.0001584303,0.000111548,0.00015421,7.581600000000001e-05,0.00015490719999999999,8.861458294794179e-05,0.0001610388,0.0001206658,8.99290851021625e-05,0.0001710819,8.48263664096734e-05,0.0001399331,0.000177829,8.953280362339391e-05,9.530252975959241e-05,0.0001155386,0.00019674529999999998,0.0001241402,0.0001035702,9.31662973421545e-05,0.0001271714,0.00020011189999999998,0.0001433723,9.120248958266079e-05,0.0001668441,0.0001344094,0.00021338810000000002,0.00017398
GLCATr_reverse,,3.6018069100538703e-07,4.6448641147753494e-07,,,,5.69223543477372e-07,,3.01916167460398e-07,,,3.35462408289331e-07,,2.5763512956620604e-07,,,3.01123736574675e-07,6.436197368341821e-07,4.4941719583799706e-07,,2.70657170324347e-07,3.8883142778990704e-07,,2.17e-07,,1.6953476547955502e-07,,2.41e-07,,2.95796245147012e-07,8.10513201235968e-08
APH180,1.16237724472253e-06,2.91322617724946e-06,2.17728005380095e-06,,7.39694610277975e-07,,1.70767063043212e-06,,1.072e-06,,5.48481037553057e-07,1.45506819595497e-06,,8.9769740458225e-07,4.32746506693237e-07,,7.37e-07,7.06e-07,1.1869223377259899e-06,,1.1474339192623699e-06,7.58602491472465e-07,3.7739520932549794e-07,1.1036588525504e-06,,1.2156003397151e-06,1.94063199634043e-06,4.18146804698673e-07,1.683e-06,6.69791497631739e-07,1.155e-06
APH181,1.16237724472253e-06,2.91322617724946e-06,2.17728005380095e-06,,7.39694610277975e-07,,1.70767063043212e-06,,1.072e-06,,5.48481037553057e-07,1.45506819595497e-06,,8.9769740458225e-07,4.32746506693237e-07,,7.37e-07,7.06e-07,1.1869223377259899e-06,,1.1474339192623699e-06,7.58602491472465e-07,3.7739520932549794e-07,1.1036588525504e-06,,1.2156003397151e-06,1.94063199634043e-06,4.18146804698673e-07,1.683e-06,6.69791497631739e-07,1.155e-06
23PDE2pp,1.47435728443161e-06,1.09113562275161e-06,1.079e-06,3.76937283070821e-07,1.4089421148151899e-06,1.42527338947723e-06,8.606659977377859e-07,9.858104961260981e-07,1.14640631702354e-06,1.4302294379836001e-06,1.258e-06,1.17831170911628e-06,5.4816870828742e-07,8.89646306783306e-07,7.9e-07,7.465200962073159e-07,1.0182736881538401e-06,1.11560754384592e-06,9.56451980885994e-07,7.93e-07,7.547904186509949e-07,1.01019929768946e-06,5.28353293055697e-07,9.240804629828791e-07,6.16675669424856e-07,7.286387792951071e-07,4.1842622969422e-07,4.74844676522222e-07,3.9843316752452997e-07,6.221921018609551e-07,6.0113062425001e-07
BSORy,,,,,,,1.0929092034765501e-07,,5.2507159558330095e-08,,,,,7.24598801904955e-08,,,6.73566252864405e-08,9.751814194457301e-08,7.299999999999999e-08,,9.530182053674179e-08,9.14897477152721e-08,,,,1.8399999999999998e-07,1.40677784121332e-07,1.09852126658126e-07,1.7517320296337098e-07,1.53e-07,1.41839810216294e-07
BSORx,,,,,,,1.0929092034765501e-07,,5.2507159558330095e-08,,,,,7.24598801904955e-08,,,6.73566252864405e-08,9.751814194457301e-08,7.299999999999999e-08,,9.530182053674179e-08,9.14897477152721e-08,,,,1.8399999999999998e-07,1.40677784121332e-07,1.09852126658126e-07,1.7517320296337098e-07,1.53e-07,1.41839810216294e-07
PLIPA1A120pp,,6.35612984127154e-08,6.77376016738073e-08,,,,8.199999999999999e-08,,6.56339494479126e-08,2.48475074650379e-07,,6.289920155424959e-08,,5.63576845926077e-08,,,5.5470162000598096e-08,5.85108851667438e-08,6.91411070519996e-08,,6.86173107864541e-08,8.00535292508631e-08,,5.98594631891744e-08,,8.657094407466611e-08,6.49282080559996e-08,7.4415956768408e-08,7.556491108223849e-08,7.47990504969455e-08,6.416562843118079e-08
APH160,1.16237724472253e-06,2.91322617724946e-06,2.17728005380095e-06,,7.39694610277975e-07,,1.70767063043212e-06,,1.072e-06,,5.48481037553057e-07,1.45506819595497e-06,,8.9769740458225e-07,4.32746506693237e-07,,7.37e-07,7.06e-07,1.1869223377259899e-06,,1.1474339192623699e-06,7.58602491472465e-07,3.7739520932549794e-07,1.1036588525504e-06,,1.2156003397151e-06,1.94063199634043e-06,4.18146804698673e-07,1.683e-06,6.69791497631739e-07,1.155e-06
APH161,1.16237724472253e-06,2.91322617724946e-06,2.17728005380095e-06,,7.39694610277975e-07,,1.70767063043212e-06,,1.072e-06,,5.48481037553057e-07,1.45506819595497e-06,,8.9769740458225e-07,4.32746506693237e-07,,7.37e-07,7.06e-07,1.1869223377259899e-06,,1.1474339192623699e-06,7.58602491472465e-07,3.7739520932549794e-07,1.1036588525504e-06,,1.2156003397151e-06,1.94063199634043e-06,4.18146804698673e-07,1.683e-06,6.69791497631739e-07,1.155e-06
FACOAE120,1.2026327337172501e-06,8.474839788362051e-07,7.64467218890111e-07,,9.912914164949742e-07,5.0262214496576e-07,8.606659977377859e-07,5.717088393889909e-07,8.357389563034209e-07,,8.10141716018735e-07,6.29e-07,5.261283851789661e-07,9.86259480370634e-07,7.49758482526655e-07,,7.09225642721933e-07,7.06e-07,6.06905273011996e-07,,7.433542001865859e-07,8.234077294374491e-07,7.9e-07,6.36e-07,4.99492180749086e-07,1.01720859287733e-06,1.03163708355644e-06,8.469244603642629e-07,9.51430925899093e-07,8.397893396702509e-07,8.94941659698048e-07
EAR140x,3.6431217540221396e-05,1.29029435777812e-05,1.225082910272e-05,3.43235073496867e-05,3.39152494780514e-05,3.5840373412924e-05,1.05101435067662e-05,3.5317e-05,1.2662999999999999e-05,3.6004621711103006e-05,3.3215810356768104e-05,1.2844000000000001e-05,3.5808803166192204e-05,1.61263488912847e-05,3.49618921919141e-05,3.62573372254661e-05,1.57337152360268e-05,1.3344382543695402e-05,1.54453550808939e-05,3.80211940958739e-05,1.4565930250835598e-05,9.922825554285561e-06,4.48496466762421e-05,1.4351306299604599e-05,3.98306949555651e-05,1.1250615607036802e-05,1.1687077450079902e-05,1.77676955827047e-05,1.3478e-05,1.2216e-05,1.35389475989792e-05
EAR140y,3.6431217540221396e-05,1.29029435777812e-05,1.225082910272e-05,3.43235073496867e-05,3.39152494780514e-05,3.5840373412924e-05,1.05101435067662e-05,3.5317e-05,1.2662999999999999e-05,3.6004621711103006e-05,3.3215810356768104e-05,1.2844000000000001e-05,3.5808803166192204e-05,1.61263488912847e-05,3.49618921919141e-05,3.62573372254661e-05,1.57337152360268e-05,1.3344382543695402e-05,1.54453550808939e-05,3.80211940958739e-05,1.4565930250835598e-05,9.922825554285561e-06,4.48496466762421e-05,1.4351306299604599e-05,3.98306949555651e-05,1.1250615607036802e-05,1.1687077450079902e-05,1.77676955827047e-05,1.3478e-05,1.2216e-05,1.35389475989792e-05
BTS5,,1.69496795767241e-07,2.37081605858325e-07,,,2.2468120492564803e-07,4.8725535321663e-07,,4.06930486577058e-07,3.23911291960425e-07,,2.5579008632061503e-07,2.87871909514461e-07,2.93865069661454e-07,,3.85721249737189e-07,6.973391794360899e-07,8.659999999999999e-07,5.37764165959997e-07,4.5789332822783395e-07,7.09e-07,4.7650910268370895e-07,,5.57441250949186e-07,5.65941531868964e-07,7.14210288615996e-07,2.92176936251998e-07,1.2969999999999998e-06,1.58e-07,8.227895554664001e-07,6.41656284311808e-07
PRPPS_reverse,1.41296766371466e-05,1.67378085820151e-05,1.7171482024310097e-05,1.4642593735568699e-05,1.64795908072134e-05,1.4803588690159198e-05,2.3401918319441698e-05,1.58363714512085e-05,2.4148917800201998e-05,1.67367384241389e-05,1.66003572741976e-05,2.03374085025407e-05,1.68032763866224e-05,3.14838179427703e-05,1.5241734520625799e-05,1.62911919107064e-05,3.3143421795357394e-05,3.81256927746503e-05,3.00110816331818e-05,1.62976927419978e-05,3.00353217603596e-05,2.4927144179590196e-05,1.60870997895149e-05,2.5717121872648998e-05,1.6486510616031602e-05,2.72049191754638e-05,2.49612888748621e-05,2.6322e-05,3.02877902692354e-05,2.9919620198778198e-05,2.50178408114835e-05
